STATION CODE,LOCATIONS,STATE,TEMP,DO,pH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM
1312,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD,MAHARASHTRA",MAHARASHTRA,29.2,6.4,8.1,735,3.4,2,3,73
2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA,24.5,6,8,270,3.1,2,72,182
2182,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,25.8,5.5,7.8,355,4.2,9,59,133
2179,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY.",MAHARASHTRA,24.8,5.5,7.8,371,5.6,3.55,90,283
2183,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,MAHARASHTRA,25.7,5.7,7.9,294,3.2,2.69,45,132
2181,"GODAVARI RIVER AT KAPILA- GODAVARI CONFLUENCE POINT, TAPOVAN.",MAHARASHTRA,25,4.5,7.5,513,12.6,2.3,131,320
2180,GODAVARI RIVER NEAR TAPOVAN.,MAHARASHTRA,24.8,5.2,7.7,475,10.3,1.9,122,343
1096,"GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA",MAHARASHTRA,26.3,5.6,7.7,385,3.8,1,110,292
1211,"GODAVARI AT NASIK D/S, MAHARASHTRA",MAHARASHTRA,26.5,5.2,7.8,410,5.2,1.5,77,218
1095,"GODAVARI AT U/S OF GANGAPUR DAM,NASIK,MAHARASHTRA",MAHARASHTRA,26,6.5,7.8,178,2.5,1.99,22,74
2160,"GODAVARI RIVER AT U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA,29.2,6.2,7.9,749,3.5,1.75,2,80
2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI ,MAHARASHTRA,29.5,6.4,8,834,4.7,1.8,2,77
2159,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BRIDGE.,MAHARASHTRA,30.2,6.2,8,925,4.2,6.9,2,82
2161,"GODAVARI RIVER AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD.",MAHARASHTRA,26.7,6.5,8,730,4,2.9,2,78
12,"GODAVARI AT DHALEGAON, MAHARASHTRA",MAHARASHTRA,27.2,7,7.9,637,4.7,6.5,2,80
1209,"GODAVARI AT RAHER, MAHARASHTRA",MAHARASHTRA,29.7,6.4,8,656,3.6,1.8,3,82
2157,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA,26,6.6,8.1,601,3.2,6.75,2,80
2360,"GODAVARI AT BASARA, ADILABAD",ANDHRA PRADESH,28,5.5,8.1,826,1.7,1,27,161
2361,"GODAVARI  AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH,31,6.9,9,526,12,0,130,285
2362,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",ANDHRA PRADESH,30,5.7,8.5,575,13,0,240,700
2363,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNAGAR",ANDHRA PRADESH,30.5,3.2,8.8,803,15,0,500,1250
2364,"GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR",ANDHRA PRADESH,30.5,6.7,9,531,12.5,0,130,425
2356,"GODAVARI,  D/S OF RAMANUGUNDAM,",ANDHRA PRADESH,29,4.4,8.5,656,13,0,300,500
2365,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",ANDHRA PRADESH,30,6.1,8.4,418,6.5,0,300,500
2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH,29.5,6.6,8.2,421,4,0,280,700
13,"GODAVARI AT MANCHERIAL, A.P.",ANDHRA PRADESH,29.5,4.1,9.1,518,16.5,0,240,900
2367,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,20,6,8.1,443,0.3,1,2,640
2368,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,20.2,5.6,8,462,0.8,1,3,5280
2369,"GODAVARI AT BURGAMPAHAD, KHAMMAM",ANDHRA PRADESH,19.8,6.1,7.9,666,1.8,0.84,2,1160
2370,GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,ANDHRA PRADESH,26.6,5.8,6.9,290,1.2,2.4,48,628
14,"GODAVARI AT POLAVARAM, A.P.",ANDHRA PRADESH,27,6.2,7.7,380,1.2,1.56,NA,170
1218,"GODAVARI AT RAJAHMUNDRY U/S, A.P.",ANDHRA PRADESH,26.6,6.1,7.4,480,1.3,1.98,3,432
2371,GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL,ANDHRA PRADESH,26.8,5.9,7,315,1.2,1.29,23,1100
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,17.5,8.5,8.1,NA,0.7,0,NA,NA
1485,"MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.3,8.8,8.1,NA,0.7,0,NA,NA
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.7,8.1,8,NA,1,0,NA,NA
1487,"ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,17.3,8.4,8.1,NA,1,0,NA,NA
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",UTTARAKHAND,17,8.7,8.1,NA,0.9,0,NA,NA
1489,"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,17,8.2,8,NA,1.1,0,NA,NA
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,17.2,8.7,7.7,NA,1.1,0,NA,22
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,21,6.9,7.8,NA,5.2,0,NA,908
1061,"GANGA AT HARIDWAR D/S, U.P",UTTARAKHAND,24.4,5.4,7.5,NA,5.3,0,NA,1600
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,18.7,7.7,7.7,NA,2.1,0,NA,177
1062,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH,23,9,7.4,242,2.5,0.4,664,1268
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,23,8,7.4,310,2.7,0.1,4000,630
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,22,8.2,7.5,293,2.6,0.1,370,610
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",UTTAR PRADESH,23,7.8,7.4,320,3.1,0.1,410,630
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,23,7.3,7.5,277,1.4,0,400,610
1063,"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",UTTAR PRADESH,26.9,7.9,7.9,288,2.9,0.2,2200,4467
1066,"GANGA AT KANNAUJ D/S, U.P",UTTAR PRADESH,26.9,7.3,7.9,276,3.2,0.3,2978,5078
1146,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH,27,7.9,8.2,290,3,0.2,2333,4256
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH,27,7.5,8.2,307,3.4,0.2,2600,4856
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH,27,6.3,7.7,430,5.5,0.3,15889,54333
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH,22.1,8,7.8,213,3.7,0.8,5517,8250
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,22.1,8.2,7.8,209,3.6,0.8,5158,7967
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",UTTAR PRADESH,24.4,8.7,8.3,385,3.6,1.7,17283,29500
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,24.5,8.4,8.3,382,3.9,1.8,18333,31833
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH,24.4,8.5,8.3,404,4.2,2,19500,32417
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,22.4,8.4,7.7,290,2.5,0.4,1567,3078
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,23.8,8.4,7.6,299,2.6,0.5,2146,6518
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",UTTAR PRADESH,22.5,8.3,8.2,338,2.9,0,2617,3950
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH,22.5,7.8,8.5,385,4.5,0,31167,47333
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH,22.7,7.7,8.5,369,3.9,0,17500,25667
2502,"SHUKRA TAL, MUZAFFARNAGAR, NEAR GANGA RIVER",UTTAR PRADESH,17,8.6,8,290,1.8,0,70,125
1074,"GANGA AT BUXAR,BIHAR",BIHAR,24.5,8.4,8.1,371,2.5,0,1190,3100
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,24.9,8.1,8.1,376,2.7,0,3183,9350
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",BIHAR,24.5,8.1,8.1,376,2.3,0,1600,3436
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,22.3,8.2,8.1,270,2.2,0,660,2033
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,23.8,8.3,8.2,311,2.5,0,1483,3967
2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,24.7,7.8,7.9,402,2.8,0,6527,19091
1079,"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",BIHAR,24.9,7.9,8,402,2.7,0,3782,11564
2555,"GANGA AT PUNPUN, PATNA",BIHAR,24.7,7.3,7.7,452,2.5,0,1382,4573
2553,GANGA AT FATUHA,BIHAR,24.4,8.1,8,386,2.3,0,1846,4982
1817,GANGA AT MOKAMA (U/S),BIHAR,24.1,7.8,7.9,277,2.3,0,1251,2770
1815,GANGA AT MOKAMA (D/S),BIHAR,24,7.7,7.8,295,2.6,0,2792,9430
1818,GANGA AT MUNGER,BIHAR,23.9,7.6,7.8,268,2.4,0,1622,4411
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,24,7.7,7.8,280,2.5,0,1560,3722
1819,GANGA AT BHAGALPUR,BIHAR,24.4,7.7,7.8,276,2.6,0,2933,9044
1816,GANGA AT KAHALGAON,BIHAR,23.4,7.8,7.9,265,2.7,0,2678,8511
3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,24.5,8.2,8.1,352,2.5,0,1705,4683
3114,GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL),BIHAR,24.1,8.1,8.1,375,2.4,0,1198,2855
3115,GANGA RIVER AT BARH,BIHAR,23.4,7.8,7.9,260,2.2,0,1106,2529
3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR,23.8,7.8,7.9,267,2.3,0,998,2478
3117,GANGA AT U/S SULTANGANJ,BIHAR,23.9,7.8,7.9,270,2.3,0,1220,2844
3118,GANGA AT U/S BHAGALPUR,BIHAR,23.9,7.7,7.9,262,2.4,0,1290,3020
3122,"GANGA AT MALSALAMI, PATNA",BIHAR,24.5,8,8,377,2.4,0,1846,5073
3123,GANGA RIVER AT BARAHIA,BIHAR,22.5,7.7,7.9,292,2.3,0,1048,2833
1080,GANGA AT BAHARAMPORE WEST BENGAL,WEST BENGAL,26.5,7.4,7.9,304,4.2,0.8,166358,287833
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,27.4,7.4,7.9,353,3.3,0.7,143275,474917
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,28.3,6.9,8,312,2.8,0.8,34392,61283
1054,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL,27,6.7,7.8,315,3.4,0.9,106417,171417
1472,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL,27.3,6,7.9,323,3.1,0.7,153917,335000
1053,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL,26.5,6.7,8,319,4.2,0.7,285833,586250
1471,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",WEST BENGAL,26.5,6.3,8,314,3.6,0.7,122417,286083
1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL,26.4,6.1,8.1,322,3.2,0.7,310417,542917
1052,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL,27.1,6.3,8.1,368,3.4,0.6,31417,78083
1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL,26.4,6.9,8,1900,3.7,0.8,41750,88917
1260,"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM",ASSAM,22.3,7.2,7.1,216,1.5,1.4,146,5525
1030,"BRAHAMPUTRA AT DIBRUGARH, ASSAM",ASSAM,21.8,7.7,7.2,256,1.4,1.5,2128,45100
1262,"BRAHAMPUTRA AT NIMATIGHAT, ASSAM",ASSAM,25.1,6.9,7,273,1.5,2.5,585,26322
1526,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",ASSAM,24.3,7.5,7,298,1.3,1.7,12418,93005
1031,"BRAHAMPUTRA AT PANDU, ASSAM",ASSAM,25.4,7.9,7.2,236,1.4,2.3,5449,134042
1299,"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM",ASSAM,27.7,6,7.3,295,1.1,1.9,444,8382
2069,"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",ASSAM,27,8.1,7.6,210,0.9,1.2,3388,123400
2064,"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI",ASSAM,25.8,7.3,7.1,168,1.6,0.4,1653,61303
2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM",ASSAM,27.3,7.1,7.2,289,1.6,1.4,1208,8725
2066,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM,28.2,5.1,7,253,1.5,1.4,2990,180228
1194,"KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,MAHARASHTRA",MAHARASHTRA,23.1,6.8,8.1,160,3.1,2.9,15,387
1153,"KRISHNA AT RAJAPUR WEIR, MAHARASHTRA",MAHARASHTRA,24.1,6.8,7.4,449,2.9,1.7,NA,80
36,"KRISHNA AT KRISHNA BRIDGE, KARAD, MAHARASHTRA",MAHARASHTRA,23.8,6,8.2,262,5.1,1.8,149,1357
1906,KRISHNA D/S OF ISLAMPUR,MAHARASHTRA,25,6.7,7.6,441,2.9,1.5,2,80
37,"KRISHNA AT SANGLI, MAHARASHTRA",MAHARASHTRA,23.7,7,7.5,711,3,1.4,NA,90
1310,"KRISHNA AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA",MAHARASHTRA,24,7,7.5,400,2.8,1.2,4,110
2187,KRISHNA RIVER AT KSHETRA MAHULI.,MAHARASHTRA,20.8,6.1,8.4,551,5.6,2.3,183,1377
2188,KRISHNA RIVER AT KRISHNA-VENNA SANGAM AT MAHULI.,MAHARASHTRA,22,6.2,8.3,458,4.6,2.3,191,1481
2190,KRISHNA RIVER AT WAI.,MAHARASHTRA,22.7,6.1,8.2,413,5.5,1.8,171,1257
1182,"KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA",KARNATAKA,29,7.5,8,685,2.1,2.3,780,1390
1889,KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,KARNATAKA,28,7.5,8,808,1.8,2.1,890,1460
1181,"KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA",KARNATAKA,29.3,5.9,8.3,521,1.5,0.4,518,1110
1170,"KRISHNA AT D/S OF DEVASAGAR BDG.,KARNATAKA",KARNATAKA,29.4,7.2,8.3,916,1.9,0.2,792,1483
1028,"KRISHNA AT TINTINI BRIDGE, KARNATAKA",KARNATAKA,29.5,7.1,8.2,718,1.9,0.2,538,1100
2781,"KRISHNA AT D/S OF ALAMATTI DAM, KARNATAKA",KARNATAKA,29.2,6.2,8.3,513,1.4,0.5,678,1250
1784,"THANGADI , MAHABOOBNAGAR DIST., A.P",ANDHRA PRADESH,17.6,5.3,8.1,874,10.5,0,NA,NA
1175,"KRISHNA AFTER CONFL. WITH TUNGABHADRA, SANGAMESHWARAM A.P.",ANDHRA PRADESH,26,6.7,8.1,791,2.6,2,28,611
39,"KRISHNA AT GADWAL BRIDGE, A.P.",ANDHRA PRADESH,17.2,5.6,8.1,870,9.5,0,NA,NA
1465,"KRISHNA AT WADAPALLY AFTER CONFL. WITH R. MUSI, A.P.(SHIFTED FROM 1220)",ANDHRA PRADESH,28.4,5.7,8.7,1072,1.6,1.2,11,122
1786,"VEDADRI , GUNTUR DIST., A.P",ANDHRA PRADESH,24.9,6.8,7.9,726,0.9,0.6,2,1875
1787,"AMARAVATI , GUNTUR DIST., A.P",ANDHRA PRADESH,27.6,7,7.8,669,0.6,0.4,2,1613
25,"KRISHNA AT VIJAYWADA, A.P.",ANDHRA PRADESH,25.8,7.2,8,669,0.7,0.7,2,1750
3083,"KRISHNA D/S OF SRISHAILAM,  KURNOOL, A.P.",ANDHRA PRADESH,28.4,6.8,8.2,818,2.9,2,36,860
1782,"HAMSALA DEEVI , GUNTUR DIST, A.P",ANDHRA PRADESH,26,5.5,7.6,14804,0.7,0.7,2,1450
1494,"YAMUNA AT U/S OF LAKHWAR DAM, U.P",UTTARAKHAND,19.7,6.5,8.2,NA,1.1,0,7900,35000
1490,"YAMUNA AT U/S DAK PATTHAR, UTTAR PARDESH",UTTARAKHAND,18.7,7.7,8.2,NA,1.3,0,1100,6509
1553,"YAMUNA , U/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,22.3,7.7,7.5,465,1.2,0.2,9,19
1554,"YAMUNA , D/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,23.7,7.5,7.8,331,1.5,0.2,11,21
1120,"YAMUNA AT WAZIRABAD, DELHI, CPCB",DELHI,NA,9.3,7.6,NA,2.4,NA,NA,10003
1121,"YAMUNA AT NIZAMUDDIN, DELHI",DELHI,NA,1.2,7.5,NA,17.2,9,NA,12010833
1375,"YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",DELHI,NA,1.4,7.6,NA,17.3,9.2,NA,23816667
2495,"YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,25,4,7.7,196,8.3,0,43546,73727
2494,"YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,25,3.7,7.5,273,9.2,0,53546,117273
2493,YAMUNA AT SHAHPUR,UTTAR PRADESH,25.3,4.5,7.5,281,7,0,34818,65000
1069,"YAMUNA AT ALLAHABAD D/S (BALUA GHAT), U.P",UTTAR PRADESH,24.8,8.1,8.2,522,2.4,1.8,2875,5975
1812,"YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN, DELHI",DELHI,NA,1.4,7.5,NA,38.2,NA,NA,18580000
1893,YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY,KARNATAKA,27.4,5.4,7.7,394,1,0.1,913,3600
1199,HEMAVATI AT D/S OF HOLENARASIPURA TOWN AT RAMADEVALA WEIR,KARNATAKA,27.7,5.8,7.7,298,1,0.1,1073,3533
1200,"SHIMSHA AT D/S OF HIGHWAY BRIDGE, YEDIYAR, KARNATAKA",KARNATAKA,28.7,7.1,7.9,416,3,1.3,NA,1600
1166,"SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNATAKA",KARNATAKA,26.7,6.3,8.2,573,2.9,0.6,716,2950
1165,"ARKAVATHI AT D/S OF KANAKAPURA TOWN, KARNATAKA",KARNATAKA,27,6.9,7.3,1560,7.3,9.1,56,788
2778,"ARKAVATHI AT T.G. HALLI RESERVOIR, , KARNATAKA",KARNATAKA,29.4,6.6,7.7,1049,4.3,1.3,46,1012
1196,"LAKSHMANTIRTHA  AT D/S OF HUNSUR TOWN, KARNATAKA",KARNATAKA,26.1,4.4,7.8,467,3.8,0.5,1099,4550
2772,"LAKSHMANTIRTHA  AT D/S OF KATTEMALAVADI, KARNATAKA",KARNATAKA,26.2,5.7,7.9,370,2.2,0.4,430,1744
1207,"KABBANI AT MUTHANKARA, KERALA",KERALA,26.9,6.7,7.7,78,0.4,0.8,58,96
1197,"KABBANI AT SARAGUR VILLAGE D/S, KARNATAKA",KARNATAKA,25.3,7.2,7.5,219,1.1,0.3,353,1478
41,"KABBANI AT CAUSE WAY  SATTUR, KARNATAKA",KARNATAKA,25.8,7.2,7.9,299,1.4,0.3,310,1357
1445,"KABBANI AT WATER INTAKE OF KIADB AT NANJANGUD,KARNATAKA",KARNATAKA,25.7,7.2,7.9,266,1.3,0.3,308,1345
2775,"KABINI AT BATHING GHAT, NANJANAGUD, KARNATAKA",KARNATAKA,25.7,5.5,7.7,282,2.3,0.3,647,2717
1208,"BHAVANI AT ELACHIVAZHY, KERALA",KERALA,24.7,7.4,7.7,138,0.7,0.2,197,408
1201,"BHAVANI AT PATHIRAKALIAMMAN KOIL, TAMILNADU",TAMILNADU,24.4,8.1,7.7,108,0.7,0.3,11667,37848
1204,"BHAVANI AT SIRUMUGAI,TAMILNADU",TAMILNADU,24.6,7.5,7.7,207,1.1,0.3,6613,20942
1321,"BHAVANI AT BHAVANI SAGAR, TAMILNADU",TAMILNADU,26.8,7.2,7.9,161,1.9,0.2,15109,32509
1205,"BHAVANI AT BHAVANI, TAMILNADU",TAMILNADU,27.3,6.3,8.1,555,1.5,0.4,15578,35738
3019,"BHAVANI AT D/S OF BHAVANISAGAR, SATHYAMANGALAM, ERODE, TAMILNADU",TAMILNADU,27.4,7.2,7.9,304,1.8,0.3,18158,42583
3020,"U/S OF KALINGARAYAN CANAL (B5), ERODE, TAMILNADU",TAMILNADU,26.8,5.9,8.1,442,0.9,0.2,12432,24552
3021,"D/S OF KALINGARAYAN CANAL (B10), ERODE, TAMILNADU",TAMILNADU,27.2,6.4,8.1,481,0.9,0.2,22473,44153
1510,"TONS RIVER, H.P",HIMACHAL PRADESH,13.2,8.9,7.1,133,0.3,0.3,5,9
2620,ASHWANI AT U/S YASHWANT NAGAR,HIMACHAL PRADESH,17.2,7.9,7.5,295,0.6,1.5,6,22
2626,BATTA AT U/S PAONTA,HIMACHAL PRADESH,23.3,7.7,7.7,302,1.1,0.3,11,20
2627,BATTA BEFORE CONFLUENCE TO YAMUNA,HIMACHAL PRADESH,23.9,7.5,7.7,348,1.4,0.3,9,20
2621,GIRI AT D/S YASHWANT NAGAR,HIMACHAL PRADESH,17.4,7.9,7.3,242,0.7,1.5,5,17
2622,GIRI AT U/S CCI MINES,HIMACHAL PRADESH,21.9,8.1,7.6,508,1.1,0.4,8,17
2623,GIRI D/S SATAUN,HIMACHAL PRADESH,22.8,7.9,7.6,467,1.4,0.3,8,17
2617,PABBAR AT U/S DHAMBARI,HIMACHAL PRADESH,10.5,9.3,6.9,82,0.2,0.3,4,8
2618,PABBAR AT U/S ROHRU,HIMACHAL PRADESH,11.2,9.3,6.9,86,0.3,0.4,2,8
2619,PABBAR AT D/S SWARAKUDDU,HIMACHAL PRADESH,12.6,9,7,163,0.3,0.3,3,9
2496,"HINDON AT SARDHANA BUDHANA ROAD, VILLAGE BAPARSI, MEERUT",UTTAR PRADESH,23.6,NA,7.5,706,49.1,6.8,81125,140500
1358,"HINDON AT GHAZIABAD D/S, U.P.",UTTAR PRADESH,24.3,1.1,7.4,1499,75.6,0.6,174167,250000
